pdf, Part No.,Series Name,Size ( Dimension),Tolerance,T.C.R,Rated Power,Resistance Value
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TC122-FR-07100KL,TC122-FR-07100KL,R-Array/R-Network (concave),0402 x 2 (0404) ,±1% ,Based on Spec ,1/16W (0.0625W) ,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TC122-FR-07100RL,TC122-FR-07100RL,R-Array/R-Network (concave),0402 x 2 (0404) ,±1% ,Based on Spec ,1/16W (0.0625W) ,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TC122-FR-07102KL,TC122-FR-07102KL,R-Array/R-Network (concave),0402 x 2 (0404) ,±1% ,Based on Spec ,1/16W (0.0625W) ,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TC122-FR-07102RL,TC122-FR-07102RL,R-Array/R-Network (concave),0402 x 2 (0404) ,±1% ,Based on Spec ,1/16W (0.0625W) ,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TC122-FR-07105KL,TC122-FR-07105KL,R-Array/R-Network (concave),0402 x 2 (0404) ,±1% ,Based on Spec ,1/16W (0.0625W) ,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TC122-FR-07105RL,TC122-FR-07105RL,R-Array/R-Network (concave),0402 x 2 (0404) ,±1% ,Based on Spec ,1/16W (0.0625W) ,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TC122-FR-07107KL,TC122-FR-07107KL,R-Array/R-Network (concave),0402 x 2 (0404) ,±1% ,Based on Spec ,1/16W (0.0625W) ,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TC122-FR-07107RL,TC122-FR-07107RL,R-Array/R-Network (concave),0402 x 2 (0404) ,±1% ,Based on Spec ,1/16W (0.0625W) ,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TC122-FR-0710K2L,TC122-FR-0710K2L,R-Array/R-Network (concave),0402 x 2 (0404) ,±1% ,Based on Spec ,1/16W (0.0625W) ,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=TC122-FR-0710K5L,TC122-FR-0710K5L,R-Array/R-Network (concave),0402 x 2 (0404) ,±1% ,Based on Spec ,1/16W (0.0625W) ,0
