pdf, Part No.,Series Name,Size ( Dimension),Tolerance,T.C.R,Rated Power,Resistance Value
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD150R,MMF204BRD150R,MMF,0.4W,±0.1%,±25ppm/°C,150,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD15K,MMF204BRD15K,MMF,0.4W,±0.1%,±25ppm/°C,15 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD16K,MMF204BRD16K,MMF,0.4W,±0.1%,±25ppm/°C,16 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD16R,MMF204BRD16R,MMF,0.4W,±0.1%,±25ppm/°C,16,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD1K2,MMF204BRD1K2,MMF,0.4W,±0.1%,±25ppm/°C,1 200,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD1K5,MMF204BRD1K5,MMF,0.4W,±0.1%,±25ppm/°C,1 500,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD200K,MMF204BRD200K,MMF,0.4W,±0.1%,±25ppm/°C,200 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD20K,MMF204BRD20K,MMF,0.4W,±0.1%,±25ppm/°C,20 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD220R,MMF204BRD220R,MMF,0.4W,±0.1%,±25ppm/°C,220,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD22K,MMF204BRD22K,MMF,0.4W,±0.1%,±25ppm/°C,22 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD27K,MMF204BRD27K,MMF,0.4W,±0.1%,±25ppm/°C,27 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD2K2,MMF204BRD2K2,MMF,0.4W,±0.1%,±25ppm/°C,2 200,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD30K,MMF204BRD30K,MMF,0.4W,±0.1%,±25ppm/°C,30 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD3K,MMF204BRD3K,MMF,0.4W,±0.1%,±25ppm/°C,3 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD3K3,MMF204BRD3K3,MMF,0.4W,±0.1%,±25ppm/°C,3 300,
